L,a,b,Undertone,MST_Class,normal_pct,oily_pct,dry_pct,Delta_E,Contrast_Level,primary_group,sub_group,shade_L_min,shade_L_max,shade_a_min,shade_a_max,shade_b_min,shade_b_max
76.4278541655568,9.177654480103277,11.452403633005275,Warm,9,66.46,19.33,14.21,33.24354135444477,High,Nude,Peachy Nude,58,82,4,24,10,30
34.06644380646099,16.674271754627277,34.71518053605652,Cool,1,43.67,40.81,15.52,25.427987458408627,Medium,Berry,Deep Berry,24,40,31,45,-12,2
55.98858145815375,13.64669602085204,31.7199201551364,Warm,5,26.76,43.71,29.53,23.451836705019343,Medium,Coral,True Coral,44,60,23,37,19,33
65.98327403484294,20.8437987655049,24.9861746231252,Neutral,7,40.41,46.52,13.07,24.691101978653816,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
67.3543801818872,23.737068601820305,27.10311611240716,Neutral,7,34.55,33.14,32.31,27.23578732763044,High,Mauve,Dusty Rose,46,70,10,30,-2,18
33.881699724000256,7.541210253037695,24.689462492363187,Warm,1,26.59,32.73,40.68,20.97285153076236,Medium,Coral,Deep Coral,32,48,25,39,21,35
59.20925009417723,11.305806756612206,10.12161942318556,Warm,6,48.48,28.98,22.54,16.763654076113575,Low,Coral,True Coral,47,57,26,34,22,30
78.31266609557217,9.314813583529082,27.6923094403759,Warm,9,15.08,41.04,43.88,38.34260693696151,High,Nude,Peachy Nude,58,82,4,24,10,30
33.87340219889975,15.174119684325332,10.33873354307674,Neutral,1,72.01,11.38,16.61,12.241327774778505,Low,Red,True Red,33,43,44,52,16,24
55.59072306122986,16.278391335112474,9.60885162853488,Cool,5,41.5,23.55,34.95,11.47742900429326,Low,Berry,True Berry,37,47,31,39,-7,1
80.56156541157455,13.98296405464425,11.781209927624184,Neutral,10,36.0,25.5,38.5,36.06767978655085,High,Nude,Taupe Nude,53,77,2,22,0,20
68.84841983745471,10.915056692406589,9.280222175782292,Neutral,8,25.44,52.48,22.08,25.66477186843468,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
33.623052625525226,24.21840293857649,9.668828438609012,Cool,1,74.06,10.3,15.64,12.355736148137726,Low,Berry,Deep Berry,27,37,34,42,-9,-1
58.981774237254186,9.659189495072676,12.522029720994883,Warm,6,83.06,10.39,6.55,17.398128857723815,Medium,Coral,True Coral,44,60,23,37,19,33
36.434165001452165,17.136939110802782,30.07001187726496,Cool,2,37.73,25.64,36.63,20.201385500061487,Medium,Berry,Deep Berry,24,40,31,45,-12,2
42.49245565182407,7.856839296286637,24.811024407163767,Cool,3,54.52,31.39,14.09,17.82881030509953,Medium,Berry,Deep Berry,24,40,31,45,-12,2
66.51266586189263,23.329783022310284,34.58567089495267,Cool,7,50.71,34.33,14.96,31.368691034791656,High,Mauve,Cool Mauve,43,67,12,32,-8,12
60.23030732187668,24.13229242166916,9.718304550739344,Warm,6,69.68,23.39,6.93,15.945037971111,Low,Nude,Warm Nude,57,67,14,22,18,26
70.73910480374157,19.28306292784348,20.69799801267252,Neutral,8,43.1,33.55,23.35,27.178496726123026,High,Nude,Taupe Nude,53,77,2,22,0,20
53.79344748025196,20.81446329677928,11.583325359162629,Warm,5,48.36,18.43,33.21,8.840909840399185,Low,Coral,True Coral,47,57,26,34,22,30
76.70409021166681,21.56938598898234,30.77854092939924,Warm,9,35.15,18.14,46.71,36.88151173649264,High,Nude,Peachy Nude,58,82,4,24,10,30
41.74740043541854,24.81285474344358,15.227047804246034,Neutral,3,72.95,15.01,12.04,6.645059235243281,Low,Red,True Red,33,43,44,52,16,24
50.00248757536716,5.841863792727238,31.538156297989445,Warm,4,45.91,18.12,35.97,24.641778635684062,Medium,Coral,True Coral,44,60,23,37,19,33
55.449762358153386,22.4019774780186,25.18361673767819,Warm,5,59.74,26.75,13.51,16.99337457460338,Low,Coral,True Coral,47,57,26,34,22,30
47.24281040030271,22.01149056030232,19.68483007722911,Cool,4,26.18,58.33,15.49,8.254265932339258,Low,Berry,True Berry,37,47,31,39,-7,1
35.08544686573051,21.25599134515005,11.100594267958495,Warm,1,28.88,36.84,34.28,10.034182018588954,Low,Coral,Deep Coral,35,45,28,36,24,32
35.35129990040384,24.252968293558503,8.392705973032813,Warm,1,14.79,42.98,42.23,11.144403219327362,Low,Coral,Deep Coral,35,45,28,36,24,32
50.95775294427682,16.314639279915824,22.03389661101248,Warm,4,42.62,28.68,28.7,12.237474616221526,Low,Coral,True Coral,47,57,26,34,22,30
71.96036224623572,13.593136254778702,24.155652076039487,Warm,8,56.42,32.97,10.61,30.260021693511828,High,Nude,Warm Nude,50,74,8,28,12,32
67.1903037266169,8.115465211603404,14.475138709577935,Cool,7,24.65,72.87,2.48,25.29383439195742,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
65.79254584283947,20.663228618473944,22.27372830771044,Cool,7,30.86,54.97,14.17,23.20170959579476,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
45.51424758531397,14.521134043021236,17.928129719443668,Neutral,3,59.46,26.06,14.48,8.088581131700005,Low,Red,Blue Red,40,50,41,49,6,14
32.72737450810651,22.547461438559107,9.220904092867114,Warm,1,16.33,58.23,25.44,12.83862415939739,Low,Coral,Deep Coral,35,45,28,36,24,32
58.66187908722142,23.81074602205896,17.000931629147196,Neutral,6,31.27,30.3,38.43,15.039216821294287,Low,Mauve,Dusty Rose,53,63,16,24,4,12
60.38357936634243,24.62515154782554,20.12511988164165,Cool,6,57.21,27.89,14.9,18.001780857791765,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
36.75381369214335,22.7825584788002,33.68901029290348,Cool,2,31.82,44.05,24.13,23.3699676464795,Medium,Berry,Deep Berry,24,40,31,45,-12,2
35.64388993995633,14.314511553349952,28.630580837629743,Neutral,2,62.3,10.66,27.04,19.91074567487564,Medium,Red,True Red,30,46,41,55,13,27
43.47831282790619,23.12708770189472,11.629196277352303,Warm,3,43.18,6.91,49.91,3.4973854156763244,Low,Coral,Deep Coral,35,45,28,36,24,32
52.99952192817147,10.248321633924288,10.319580481476152,Neutral,5,16.7,75.97,7.33,12.724440726134926,Low,Red,Blue Red,40,50,41,49,6,14
32.17342308136835,15.105047448957142,23.84471018656373,Warm,1,24.98,42.81,32.21,18.132258417809453,Medium,Coral,Deep Coral,32,48,25,39,21,35
83.97302573732892,13.255166405547868,32.63977388397022,Neutral,10,28.66,64.13,7.21,44.61378465587482,High,Nude,Taupe Nude,53,77,2,22,0,20
55.83737213617724,16.53762402622417,12.990636744569674,Cool,5,34.51,36.24,29.25,11.420071950800596,Low,Berry,True Berry,37,47,31,39,-7,1
78.33967189207644,10.987911767433625,29.788068253867827,Warm,9,30.52,17.48,52.0,38.84799645267608,High,Nude,Peachy Nude,58,82,4,24,10,30
58.88276025058919,20.450451835250888,9.08878147246567,Neutral,6,60.36,28.6,11.04,14.191868529065486,Low,Mauve,Dusty Rose,53,63,16,24,4,12
41.95022095787058,7.3078928435783475,29.6712884335291,Cool,3,34.86,30.85,34.29,21.969642035701924,Medium,Berry,Deep Berry,24,40,31,45,-12,2
71.80414710316096,11.690225774838645,31.564353668285456,Warm,8,45.46,17.61,36.93,34.20933475031052,High,Nude,Warm Nude,50,74,8,28,12,32
66.39549343861603,8.548575389394138,12.974070659426705,Warm,7,42.68,40.22,17.1,24.28684991397211,Medium,Nude,Warm Nude,54,70,11,25,15,29
73.04234018306474,16.050019348157782,32.79751366792603,Warm,8,58.2,27.08,14.72,35.135619602622995,High,Nude,Peachy Nude,58,82,4,24,10,30
56.43688028611036,8.61150690254667,18.59732602298049,Warm,5,54.14,25.52,20.34,17.43630455007762,Medium,Coral,True Coral,44,60,23,37,19,33
41.62699235041672,15.62709263136296,31.008900508600583,Warm,3,39.67,11.33,49.0,19.79489323044464,Medium,Coral,Deep Coral,32,48,25,39,21,35
37.58451230132938,17.990178594148947,8.81280454970561,Cool,2,42.46,39.4,18.14,8.31787561405733,Low,Berry,Deep Berry,27,37,34,42,-9,-1
52.107043866937694,13.226079441324623,25.51666542630342,Cool,5,58.13,20.6,21.27,16.706175998966604,Low,Berry,True Berry,37,47,31,39,-7,1
47.74463725325449,12.918744523918996,26.76373422226229,Cool,4,78.5,10.48,11.02,16.602561879272677,Low,Berry,True Berry,37,47,31,39,-7,1
67.38269095596267,17.910687128210444,30.61175802970692,Cool,7,27.16,23.05,49.79,29.184715514507225,High,Mauve,Cool Mauve,43,67,12,32,-8,12
71.21323232166617,20.700330876741138,23.124540953469733,Warm,8,44.88,30.55,24.57,28.484722633580027,High,Nude,Warm Nude,50,74,8,28,12,32
63.28797860109152,20.878702669037025,13.529665044517657,Cool,7,57.98,14.55,27.47,18.372864633556013,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
64.00430032461269,5.985993248183399,20.985423418276195,Neutral,7,48.02,28.05,23.93,25.2644740707924,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
61.63168408764177,23.168750957445297,32.65656096898265,Neutral,6,23.79,21.05,55.16,26.708564343422218,High,Mauve,Dusty Rose,46,70,10,30,-2,18
74.64204323632902,10.722700849166287,34.077590057804755,Cool,9,18.14,72.5,9.36,38.10694148733192,High,Pink,Soft Pink,56,80,15,35,-5,15
34.715339716144896,18.173872632378902,12.779283075472163,Warm,1,13.07,29.01,57.92,10.474552994223602,Low,Coral,Deep Coral,35,45,28,36,24,32
60.818067712625925,15.345381128832187,20.070499682773487,Warm,6,69.19,7.41,23.4,18.35782416646094,Medium,Nude,Warm Nude,54,70,11,25,15,29
51.64983333052341,13.655341634163872,33.43900727122024,Neutral,4,10.33,52.91,36.76,23.326079950955087,Medium,Red,Blue Red,37,53,38,52,3,17
68.83660783723019,15.32495646400121,17.447177518479762,Neutral,8,25.97,53.97,20.06,24.89400827844361,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
53.26937325036704,24.19184295218468,25.322651393571647,Neutral,5,60.65,19.36,19.99,16.23105423083488,Low,Red,Blue Red,40,50,41,49,6,14
57.15268652576942,5.921383393509352,19.86556510767793,Neutral,5,31.05,40.54,28.41,20.193126301028585,Medium,Red,Blue Red,37,53,38,52,3,17
71.36988601500336,6.321106156443202,10.52610398663306,Cool,8,45.64,4.65,49.71,29.74315710690082,High,Pink,Soft Pink,56,80,15,35,-5,15
73.88188612546786,5.798959465721887,34.89806131220524,Cool,8,43.78,13.1,43.12,39.49878618740345,High,Pink,Soft Pink,56,80,15,35,-5,15
72.07157538908547,6.772094279393581,19.79888891297176,Warm,8,49.65,19.66,30.69,31.12346947364744,High,Nude,Peachy Nude,58,82,4,24,10,30
74.23825401277958,24.51203838313305,30.759528026317323,Cool,9,74.82,4.23,20.95,35.03075619875872,High,Pink,Soft Pink,56,80,15,35,-5,15
32.585795431577495,8.479547990436071,10.16171186828207,Neutral,1,43.49,51.7,4.81,17.03562716270002,Low,Red,True Red,33,43,44,52,16,24
34.272607415662016,11.816070805060356,11.233577559119784,Warm,1,29.55,63.71,6.74,13.514475649620293,Low,Coral,Deep Coral,35,45,28,36,24,32
65.35221213609529,5.514848194944324,18.96421757911381,Neutral,7,46.45,40.23,13.32,25.93323134777789,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
49.9528865576892,18.84708612308828,15.569038318888136,Cool,4,37.36,47.03,15.61,6.212755442040658,Low,Berry,True Berry,37,47,31,39,-7,1
55.76302440908906,7.200354422550872,8.344666515983228,Neutral,5,41.78,40.77,17.45,17.118267558907185,Low,Red,Blue Red,40,50,41,49,6,14
72.5601615295335,9.4298709771928,19.95868064713301,Neutral,8,73.61,17.19,9.2,30.5717308756933,High,Nude,Taupe Nude,53,77,2,22,0,20
45.069480345069046,9.6721550209982,12.307706363056084,Warm,3,50.91,25.62,23.47,10.332661449718984,Low,Coral,True Coral,47,57,26,34,22,30
54.55403601613362,12.83821125887818,31.84838723850804,Cool,5,57.38,31.21,11.41,23.163102083697822,Medium,Berry,True Berry,34,50,28,42,-10,4
48.7942733014732,19.22243634030572,21.10190131197551,Neutral,4,54.65,24.76,20.59,9.891699683274403,Low,Red,Blue Red,40,50,41,49,6,14
46.515579969224056,9.59987507926481,33.39360672774387,Cool,4,60.9,17.62,21.48,23.83581317747264,Medium,Berry,True Berry,34,50,28,42,-10,4
73.0599190541408,7.665685161643463,28.577499752158765,Cool,8,37.52,37.92,24.56,34.84692063711599,High,Pink,Soft Pink,56,80,15,35,-5,15
49.41698639312877,21.64268355915484,9.06227559804976,Warm,4,57.18,27.21,15.61,5.553233538616594,Low,Coral,True Coral,47,57,26,34,22,30
65.23866562789556,14.144608392390888,24.431433015697305,Neutral,7,41.71,18.27,40.02,24.462823305987992,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
48.94555081892338,12.89614565756512,10.105834393054046,Neutral,4,60.4,5.86,33.74,8.343858887216083,Low,Red,Blue Red,40,50,41,49,6,14
39.67759185614175,6.151175200332886,19.08071432872086,Warm,2,37.95,24.3,37.75,16.439418851852285,Low,Coral,Deep Coral,35,45,28,36,24,32
58.00272445861906,13.934529374052811,9.549579779583386,Cool,6,41.81,37.7,20.49,14.555594681002397,Low,Mauve,Cool Mauve,50,60,18,26,-2,6
37.905114368723005,8.138052482922403,31.186114150298664,Neutral,2,28.28,43.94,27.78,23.646356531336806,Medium,Red,True Red,30,46,41,55,13,27
39.93783426530973,15.444865201096087,17.670393386886694,Warm,2,54.13,12.56,33.31,8.861610244402875,Low,Coral,Deep Coral,35,45,28,36,24,32
70.34417378727147,21.0997799936154,33.33423009810903,Warm,8,15.4,33.53,51.07,33.14643321494541,High,Nude,Warm Nude,50,74,8,28,12,32
60.19376066247071,23.761282791362625,10.686356059570045,Cool,6,22.26,27.74,50.0,15.707427278433324,Low,Mauve,Cool Mauve,50,60,18,26,-2,6
39.11629024643479,16.45214465764045,34.1380622991698,Cool,2,57.33,12.61,30.06,23.179713552078915,Medium,Berry,Deep Berry,24,40,31,45,-12,2
75.83552919950404,9.936477384038046,33.66239760553299,Warm,9,59.43,25.99,14.58,39.004664060540826,High,Nude,Peachy Nude,58,82,4,24,10,30
77.5888870021959,11.03173739747103,32.23337281609627,Cool,9,54.4,16.42,29.18,39.39358660575293,High,Pink,Soft Pink,56,80,15,35,-5,15
51.7865927419904,6.78822004624519,27.418448013351124,Warm,4,42.08,37.24,20.68,21.408818503889595,Medium,Coral,True Coral,44,60,23,37,19,33
38.419157963542446,13.67703298475946,17.33301664974431,Warm,2,44.22,15.51,40.27,10.570168417346842,Low,Coral,Deep Coral,35,45,28,36,24,32
61.75503457634587,6.114817071748835,11.405113704136085,Cool,6,71.8,5.87,22.33,21.76886258651448,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
71.3722443689447,12.82184488296441,18.153128359947225,Neutral,8,25.48,46.33,28.19,28.01574865238384,High,Nude,Taupe Nude,53,77,2,22,0,20
66.96206843072798,24.191532886420667,20.14297574616458,Warm,7,9.88,8.84,81.28,23.795156055309853,Medium,Nude,Warm Nude,54,70,11,25,15,29
75.69939928389628,22.608438057472096,34.633178499038,Neutral,9,33.0,57.19,9.81,38.22980296131641,High,Nude,Taupe Nude,53,77,2,22,0,20
41.38302201626925,22.6250136336378,10.325134983672092,Neutral,3,34.31,40.11,25.58,4.772672116801694,Low,Red,True Red,33,43,44,52,16,24
46.37373109989952,17.524406432628307,26.04174556098544,Warm,3,66.1,15.2,18.7,14.324326128830547,Low,Coral,True Coral,47,57,26,34,22,30
38.09492683354728,5.556821025251725,25.97566148716492,Neutral,2,27.6,57.51,14.89,21.25098982011193,Medium,Red,True Red,30,46,41,55,13,27
35.61810178271044,10.888977841391714,26.85036627853312,Warm,2,37.3,59.81,2.89,19.78797911715155,Medium,Coral,Deep Coral,32,48,25,39,21,35
58.04844543093192,13.427140045541403,20.212593681994104,Warm,6,69.12,23.95,6.93,16.760403071837594,Low,Coral,True Coral,47,57,26,34,22,30
49.47144992524992,18.447676865834072,12.088672487989008,Cool,4,43.97,43.06,12.97,4.734071646797333,Low,Berry,True Berry,37,47,31,39,-7,1
73.26381909897466,8.135208573032786,14.326776772564225,Cool,8,37.83,50.44,11.73,30.741350585397907,High,Pink,Soft Pink,56,80,15,35,-5,15
77.8027110485014,18.83011091627189,27.87955726715238,Neutral,9,29.44,32.78,37.78,36.4629514932688,High,Nude,Taupe Nude,53,77,2,22,0,20
49.66971371077497,7.519103927587166,27.4957837335022,Cool,4,64.86,19.54,15.6,20.43766881095888,Medium,Berry,True Berry,34,50,28,42,-10,4
79.43304057662819,7.185284206192428,15.84362165312835,Warm,9,62.26,14.63,23.11,36.94082635296863,High,Nude,Peachy Nude,58,82,4,24,10,30
72.89014594730051,21.68649591498797,25.09582422218585,Cool,8,37.96,48.39,13.65,30.85782107491363,High,Pink,Soft Pink,56,80,15,35,-5,15
38.30056784624658,14.09528685105322,24.509517503092844,Cool,2,22.35,46.58,31.07,15.369972567128295,Low,Berry,Deep Berry,27,37,34,42,-9,-1
37.67907946022892,13.721409604386253,11.556157450571588,Neutral,2,19.28,65.79,14.93,9.654717557454408,Low,Red,True Red,33,43,44,52,16,24
81.27697245380399,16.38994517037152,22.634413058952603,Cool,10,49.11,24.32,26.57,37.97554433310205,High,Pink,Soft Pink,56,80,15,35,-5,15
82.37894442673858,12.75297610911294,13.025669239340395,Warm,10,24.36,17.66,57.98,38.08880201740176,High,Nude,Peachy Nude,58,82,4,24,10,30
80.20699819019586,23.52765213460173,33.8642212685328,Warm,10,89.81,2.85,7.34,41.59352380872024,High,Nude,Peachy Nude,58,82,4,24,10,30
84.42694477641915,6.161839041606996,34.59117687458685,Warm,10,18.28,36.74,44.98,47.500946787322725,High,Nude,Peachy Nude,58,82,4,24,10,30
47.48437309498488,10.562872808978216,18.875209419255363,Neutral,4,70.69,10.4,18.91,11.937335709999326,Low,Red,Blue Red,40,50,41,49,6,14
45.54489781731135,20.84382389603352,21.81610107209692,Cool,3,57.68,22.36,19.96,9.867359963863189,Low,Berry,True Berry,37,47,31,39,-7,1
77.63438560633071,23.61344511124797,9.891854784472116,Cool,9,25.45,43.88,30.67,32.90143440223298,High,Pink,Soft Pink,56,80,15,35,-5,15
76.42527700853269,10.149584329849386,34.03753731897164,Cool,9,45.36,43.94,10.7,39.62615014132498,High,Pink,Soft Pink,56,80,15,35,-5,15
83.54924774001286,15.317238054246562,18.616270427753904,Warm,10,33.48,60.24,6.28,39.39223013659742,High,Nude,Peachy Nude,58,82,4,24,10,30
45.275860148212,18.757714446016266,16.314108422962157,Warm,3,42.49,1.85,55.66,4.497877688875193,Low,Coral,True Coral,47,57,26,34,22,30
40.88933518305359,24.720021276457416,15.793024937486903,Warm,2,31.58,37.74,30.68,7.318688698386432,Low,Coral,Deep Coral,35,45,28,36,24,32
78.3653303677818,22.35404195838478,33.40027319933045,Cool,9,55.02,39.51,5.47,39.70841821451768,High,Pink,Soft Pink,56,80,15,35,-5,15
39.72757230178032,9.353347991610722,20.377648451548826,Cool,2,54.15,26.39,19.46,14.537354862506175,Low,Berry,Deep Berry,27,37,34,42,-9,-1
46.57502099639281,18.785586424516744,26.73431024286665,Neutral,4,37.64,45.85,16.51,14.86793159132908,Low,Red,Blue Red,40,50,41,49,6,14
65.68579951770654,22.94596991499477,22.159781338159235,Neutral,7,51.93,25.87,22.2,23.233643650232978,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
47.13727187802542,10.94574408562653,29.970530280500142,Cool,4,86.17,4.49,9.34,20.235796001292805,Medium,Berry,True Berry,34,50,28,42,-10,4
57.55501577049573,6.488568368770313,26.977393989352738,Neutral,6,65.6,16.28,18.12,23.75940942942585,Medium,Red,Blue Red,37,53,38,52,3,17
70.39670353896501,17.7031397772787,17.15218800666618,Neutral,8,18.97,13.69,67.34,26.015632969136693,Medium,Nude,Taupe Nude,57,73,5,19,3,17
39.42309895639566,23.49317219164493,10.420610243363331,Neutral,2,54.7,29.48,15.82,6.7674625387958685,Low,Red,True Red,33,43,44,52,16,24
54.0077529065048,20.16526391858045,21.423718628227537,Warm,5,38.69,48.99,12.32,13.037384606255692,Low,Coral,True Coral,47,57,26,34,22,30
33.819956488349426,8.983137951941341,32.12476922761958,Neutral,1,24.8,49.0,26.2,25.521970119355977,Medium,Red,True Red,30,46,41,55,13,27
53.06001733520631,15.680722264093133,10.68639810687723,Neutral,5,38.49,54.22,7.29,9.238267669717237,Low,Red,Blue Red,40,50,41,49,6,14
44.68421033781993,8.132256297852997,30.828791892695133,Neutral,3,34.62,35.38,30.0,22.259076077614083,Medium,Red,True Red,30,46,41,55,13,27
46.65947605432811,18.9484053449368,26.764510925416648,Warm,4,41.61,32.81,25.58,14.894646520149228,Low,Coral,True Coral,47,57,26,34,22,30
82.16025355506387,11.233058333092975,19.26933942861278,Cool,10,57.14,32.46,10.4,38.86627080382131,High,Pink,Soft Pink,56,80,15,35,-5,15
84.4224951885572,11.738438261534911,24.45502302783653,Neutral,10,52.51,17.74,29.75,42.16057551640187,High,Nude,Taupe Nude,53,77,2,22,0,20
73.62267058156903,9.932072699560493,26.999894049984377,Warm,8,66.7,16.05,17.25,33.84696814869404,High,Nude,Peachy Nude,58,82,4,24,10,30
36.11111822032028,12.711050029833386,16.964018957177338,Neutral,2,32.15,56.74,11.11,12.521281690303512,Low,Red,True Red,33,43,44,52,16,24
48.07709460723011,24.898156452928703,21.140061418466978,Warm,4,59.35,19.8,20.85,10.816707936916863,Low,Coral,True Coral,47,57,26,34,22,30
78.64733354709799,13.760881518107675,31.409313386586213,Cool,9,45.69,18.43,35.88,39.34197631537428,High,Pink,Soft Pink,56,80,15,35,-5,15
33.869124415727335,6.682136122299949,33.093151706444814,Warm,1,26.17,57.99,15.84,27.316349288449967,High,Coral,Deep Coral,28,52,22,42,18,38
63.56069210565576,7.33608215467904,16.98965666798408,Neutral,7,69.85,14.19,15.96,23.01674999426176,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
60.98247785112911,11.274062495143124,15.70055667237118,Cool,6,35.07,22.48,42.45,18.581595821832185,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
81.90306103343246,10.75868188186438,21.280650905442243,Neutral,10,39.53,42.36,18.11,39.158247604132,High,Nude,Taupe Nude,53,77,2,22,0,20
67.42076705255718,12.139648589373277,29.64968454822576,Cool,7,22.95,41.53,35.52,29.597082359169363,High,Mauve,Cool Mauve,43,67,12,32,-8,12
73.40891580339493,18.41530050886072,21.986414420530032,Cool,8,63.51,17.36,19.13,30.154705148287714,High,Pink,Soft Pink,56,80,15,35,-5,15
36.42276222475972,16.67312223701744,18.365062977076708,Warm,2,18.03,38.24,43.73,11.187097487954112,Low,Coral,Deep Coral,35,45,28,36,24,32
62.54453807889872,20.49307062362364,26.063603107885925,Warm,6,33.35,19.05,47.6,22.490861864720667,Medium,Nude,Warm Nude,54,70,11,25,15,29
80.45749381435526,9.657171137521884,10.88978662369803,Cool,10,49.42,42.5,8.08,36.9518680206356,High,Pink,Soft Pink,56,80,15,35,-5,15
46.376366136770685,17.018240113181722,14.122860883630434,Cool,3,33.14,32.85,34.01,3.910474919538008,Low,Berry,True Berry,37,47,31,39,-7,1
42.0329547113106,8.465886401416915,19.811822894640684,Warm,3,49.27,17.21,33.52,14.243023246045256,Low,Coral,Deep Coral,35,45,28,36,24,32
69.65463894262594,12.156823172830665,12.63616970228958,Neutral,8,69.0,10.99,20.01,25.87994119049741,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
54.48012323826838,13.914596418057384,13.611243719388566,Neutral,5,71.07,8.19,20.74,11.379849721817305,Low,Red,Blue Red,40,50,41,49,6,14
68.59380809067832,14.229549292494683,20.52617714058508,Warm,8,53.3,19.54,27.16,25.74221393392849,Medium,Nude,Warm Nude,54,70,11,25,15,29
81.15316404455942,21.96835452861022,8.117708658827672,Neutral,10,39.22,22.29,38.49,36.41425374823527,High,Nude,Taupe Nude,53,77,2,22,0,20
58.37268251242187,15.596181141401082,14.88735500537775,Neutral,6,53.82,20.29,25.89,14.372163269475651,Low,Mauve,Dusty Rose,53,63,16,24,4,12
61.458214311514354,18.51173547134877,31.072779616458867,Cool,6,51.4,18.74,29.86,25.23605896190977,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
79.8250046031967,22.669295259721213,8.211722950841754,Warm,10,23.45,22.62,53.93,35.13199575596896,High,Nude,Peachy Nude,58,82,4,24,10,30
70.16005190509244,10.612711597530316,14.788614109061513,Neutral,8,29.98,45.01,25.01,26.99862522550629,High,Nude,Taupe Nude,53,77,2,22,0,20
40.10468126212361,8.124131373732439,27.333349277537906,Cool,2,49.17,19.02,31.81,20.00279983504165,Medium,Berry,Deep Berry,24,40,31,45,-12,2
41.10764281827478,9.353995977144647,31.269783228960407,Neutral,3,59.58,18.89,21.53,22.356484333989187,Medium,Red,True Red,30,46,41,55,13,27
70.32770067979303,21.56371738646905,32.72698740115008,Cool,8,34.96,48.43,16.61,32.765006340871786,High,Pink,Soft Pink,56,80,15,35,-5,15
61.46263312004337,22.902354814130728,17.436672046344107,Warm,6,21.4,15.27,63.33,17.57837750339195,Medium,Nude,Warm Nude,54,70,11,25,15,29
60.27850394915104,7.387620226763936,29.54072639620896,Cool,6,15.81,45.12,39.07,26.460950265914864,Medium,Mauve,Cool Mauve,47,63,15,29,-5,9
